epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2023.91,0.79978,1.37095,0.50504,0.88076,0.86235,0.88453,0.92111,0.7006,0.85602,0.86844,0.9079,0.59649,0.742,1.20149,0.42861,0.88273,0.00476488,0.00476488,0.00476488
97,2044.8,0.81345,1.37234,0.51356,0.87396,0.87037,0.88176,0.92616,0.70527,0.86648,0.86063,0.9107,0.59696,0.74365,1.18304,0.43973,0.88145,0.0047624,0.0047624,0.0047624
98,2065.75,0.79657,1.36107,0.51,0.87709,0.85406,0.88176,0.91866,0.70136,0.85657,0.86113,0.90854,0.59671,0.74004,1.1837,0.42911,0.88261,0.00475992,0.00475992,0.00475992
99,2086.54,0.79513,1.35802,0.5017,0.87749,0.87123,0.88398,0.92367,0.70471,0.86033,0.87154,0.91019,0.60245,0.74758,1.19091,0.43122,0.88212,0.00475745,0.00475745,0.00475745
100,2107.46,0.7941,1.35909,0.50334,0.87625,0.85682,0.88226,0.91717,0.69806,0.85193,0.86595,0.90389,0.59465,0.73868,1.20829,0.43245,0.88255,0.00475498,0.00475498,0.00475498
101,2127.87,0.7965,1.36072,0.50781,0.87654,0.87411,0.85811,0.91723,0.69942,0.86575,0.8429,0.90061,0.59397,0.74736,1.21654,0.44593,0.88547,0.0047525,0.0047525,0.0047525
102,2148.59,0.80396,1.36657,0.49913,0.8787,0.86555,0.88127,0.92437,0.70521,0.85445,0.86461,0.90751,0.59666,0.74994,1.19316,0.43371,0.88473,0.00475002,0.00475002,0.00475002
103,2169.53,0.79361,1.35457,0.50588,0.87373,0.85763,0.89107,0.92335,0.69967,0.86027,0.86775,0.91004,0.59802,0.76733,1.18692,0.45396,0.88412,0.00474755,0.00474755,0.00474755
104,2189.92,0.78743,1.36357,0.50131,0.87536,0.86031,0.88481,0.92195,0.69848,0.85241,0.87068,0.90925,0.59294,0.754,1.20007,0.43232,0.88433,0.00474508,0.00474508,0.00474508
105,2210.24,0.82052,1.42203,0.51043,0.87638,0.86042,0.88279,0.92461,0.70322,0.85803,0.8648,0.91082,0.59836,0.73994,1.19131,0.42542,0.88465,0.0047426,0.0047426,0.0047426
106,2231.07,0.79312,1.35705,0.50161,0.87415,0.86234,0.89287,0.92428,0.70144,0.85414,0.87728,0.91149,0.59931,0.75028,1.19216,0.43512,0.88047,0.00474013,0.00474013,0.00474013
107,2252.07,0.79731,1.35053,0.4974,0.87449,0.86174,0.89202,0.92272,0.69969,0.86269,0.86844,0.91124,0.60256,0.76334,1.19603,0.4275,0.88462,0.00473765,0.00473765,0.00473765
108,2272.4,0.80644,1.36013,0.50092,0.87473,0.85915,0.88725,0.91746,0.69275,0.85162,0.87102,0.90703,0.60036,0.78079,1.19702,0.43556,0.88732,0.00473518,0.00473518,0.00473518
109,2292.91,0.79,1.35445,0.49689,0.87238,0.8663,0.8797,0.92191,0.69808,0.85482,0.86319,0.90644,0.5979,0.75771,1.19244,0.43495,0.88218,0.0047327,0.0047327,0.0047327
110,2314.01,0.80644,1.38778,0.50874,0.87494,0.87213,0.87609,0.92465,0.70383,0.86752,0.85375,0.91061,0.60199,0.74296,1.17755,0.42329,0.88045,0.00473023,0.00473023,0.00473023
111,2334.75,0.7909,1.3512,0.49767,0.87367,0.87005,0.88217,0.92642,0.70608,0.86082,0.86905,0.91343,0.60362,0.7453,1.17967,0.41975,0.88122,0.00472775,0.00472775,0.00472775
112,2356.09,0.79041,1.36245,0.49352,0.87302,0.86103,0.8911,0.92556,0.70563,0.85597,0.87435,0.91315,0.6039,0.74033,1.17205,0.41957,0.87999,0.00472528,0.00472528,0.00472528
113,2376.62,0.79899,1.36231,0.49607,0.87427,0.87918,0.87099,0.9213,0.7049,0.87031,0.8525,0.90562,0.60074,0.73714,1.18021,0.43337,0.88011,0.0047228,0.0047228,0.0047228
114,2397,0.78416,1.329,0.49453,0.87279,0.87449,0.88184,0.92661,0.70538,0.86693,0.86062,0.90894,0.58677,0.73985,1.19125,0.41818,0.88363,0.00472033,0.00472033,0.00472033
115,2418.01,0.79344,1.36227,0.49642,0.87149,0.87237,0.87388,0.91933,0.69884,0.86434,0.85858,0.90816,0.60119,0.76238,1.20317,0.42931,0.8845,0.00471785,0.00471785,0.00471785
116,2439.22,0.79057,1.33269,0.50214,0.87249,0.8671,0.88751,0.92469,0.70552,0.85686,0.872,0.90797,0.59591,0.75057,1.19405,0.43098,0.88258,0.00471537,0.00471537,0.00471537
117,2459.85,0.79129,1.36143,0.49261,0.87252,0.87082,0.87489,0.92189,0.70669,0.86268,0.86358,0.90818,0.60353,0.73085,1.17627,0.42051,0.87821,0.0047129,0.0047129,0.0047129
118,2480.41,0.77883,1.3385,0.49661,0.87393,0.86481,0.88387,0.92615,0.70739,0.86612,0.8595,0.90972,0.59976,0.73812,1.16726,0.41971,0.87978,0.00471042,0.00471042,0.00471042
119,2501.45,0.78627,1.35203,0.4896,0.87214,0.88458,0.87498,0.92795,0.71065,0.87217,0.85584,0.90733,0.5959,0.73055,1.1787,0.42345,0.87972,0.00470795,0.00470795,0.00470795
120,2521.09,0.79254,1.34751,0.48996,0.87785,0.84497,0.88516,0.91073,0.69563,0.84983,0.85925,0.89828,0.59711,0.74656,1.23206,0.43617,0.88415,0.00470547,0.00470547,0.00470547
121,2543.04,0.7973,1.36824,0.49225,0.87115,0.85502,0.88658,0.92226,0.7041,0.84726,0.87034,0.9074,0.59564,0.73951,1.20037,0.41947,0.88277,0.004703,0.004703,0.004703
122,2563.21,0.7854,1.3313,0.49147,0.87198,0.86975,0.87889,0.926,0.70961,0.86302,0.86036,0.91129,0.60755,0.72746,1.17135,0.41887,0.88016,0.00470052,0.00470052,0.00470052
123,2584.34,0.79168,1.36396,0.49255,0.87181,0.87201,0.88634,0.92842,0.71149,0.86276,0.85956,0.90949,0.59941,0.72699,1.17363,0.42265,0.87978,0.00469805,0.00469805,0.00469805
124,2604.71,0.78952,1.34282,0.48276,0.8718,0.87058,0.88512,0.92688,0.70577,0.86164,0.86724,0.91075,0.59523,0.74285,1.16948,0.4172,0.88018,0.00469558,0.00469558,0.00469558
125,2624.75,0.79293,1.36926,0.48688,0.86922,0.85506,0.89392,0.92263,0.7038,0.85305,0.86942,0.90882,0.59311,0.73693,1.18735,0.41352,0.88143,0.0046931,0.0046931,0.0046931
126,2644.29,0.78783,1.34943,0.49226,0.87146,0.8594,0.88907,0.92428,0.70679,0.85374,0.86983,0.91039,0.59701,0.73479,1.17704,0.41293,0.88107,0.00469063,0.00469063,0.00469063
127,2664.8,0.79351,1.36351,0.48584,0.86684,0.85948,0.88669,0.92232,0.70784,0.85852,0.86473,0.90881,0.5996,0.73479,1.17701,0.41492,0.87918,0.00468815,0.00468815,0.00468815
